Date,USD,CRUDE,GOLD
11/6/2017,64.62499922,3641.366438,2922.968099
11/7/2017,65.06000126,3727.188037,2940.804545
11/8/2017,64.91999844,3706.970646,2950.270245
11/9/2017,64.97499924,3715.985551,2957.048865
11/10/2017,65.19000017,3726.967333,2959.367879
11/13/2017,65.43999826,3719.133522,2957.45115
11/14/2017,65.41000101,3669.050097,2954.340665
11/15/2017,65.27000176,3609.15216,2962.699612
11/16/2017,65.29500151,3606.699499,2949.904718
11/17/2017,65.01499961,3639.73186,2951.785535
11/20/2017,65.10000044,3672.320039,2958.807482
11/21/2017,64.88000119,3686.78801,2937.703069
11/22/2017,64.88000119,3748.978703,2943.366682
11/23/2017,64.57000124,3766.479905,2947.374626
11/24/2017,64.67999894,3797.017759,2944.666767
11/27/2017,64.47700189,3759.349694,2949.91342
11/28/2017,64.40999798,3726.253766,2944.198604
11/29/2017,64.35999998,3713.719368,2937.599511
11/30/2017,64.49000018,3710.878396,2923.805625
12/1/2017,64.52000023,3760.902126,2928.883773
12/4/2017,64.38000064,3723.229751,2914.763569
12/5/2017,64.35999998,3703.556774,2905.000668
12/6/2017,64.5300009,3669.756831,2898.3491
12/7/2017,64.57000124,3634.378425,2877.764092
12/8/2017,64.47999943,3690.855158,2854.500405
12/11/2017,64.35500072,3698.185006,2844.343312
12/12/2017,64.40999798,3739.102037,2819.538272
12/13/2017,64.45999893,3686.399226,2816.528516
12/14/2017,64.33999932,3635.552233,2833.961056
12/15/2017,64.08000055,3669.15408,2829.887003
12/18/2017,64.2100006,3687.167898,2839.166875
12/19/2017,64.06000116,3689.283382,2844.343312
12/20/2017,64.11500077,3705.746218,2847.518245
12/21/2017,64.01999882,3719.11586,2849.286966
12/22/2017,64.01999882,3725.114232,2857.183674
12/26/2017,64.05000204,3786.858374,2876.489302
12/27/2017,64.11999981,3824.903907,2890.01471
12/28/2017,64.08000055,3822.854538,2902.403771
12/29/2017,63.84000163,3845.180845,2904.91628
1/1/2018,63.67999833,3824.551322,2913.846306
1/2/2018,63.45999907,3836.70322,2917.467755
1/3/2018,63.50499835,3871.198635,2922.122513
1/4/2018,63.39999864,3923.56972,2914.899509
